id_sonda	GSM1218934_sample_table	GSM1218938_sample_table	GSM1218943_sample_table	Media	Error estándar %
3015489	8.4164	7.7527	3.08081	6.416636666666666	21.363232180619843
3785503	2.91435	6.2995	3.06939	4.094413333333334	22.00472191700263
3880677	7.31803	2.75744	6.93424	5.669903333333333	21.031122804368284
3573706	3.21305	7.21364	4.00701	4.811233333333334	20.752939215011722
3823827	2.86562	7.3959	5.21386	5.158460000000001	20.70456557998188
3437301	3.24203	6.5497	3.17343	4.32172	21.04978417093893
2884748	8.01214	3.08123	8.70708	6.600149999999999	21.907093273959745
2493470	3.71233	6.75311	3.14081	4.535416666666667	20.181964778692425
2871152	6.86205	2.66533	6.1638	5.230393333333334	20.266865073911518
3720891	5.84295	2.45893	2.56258	3.621486666666667	25.05152414168591
3206488	3.28305	6.87022	3.65317	4.602146666666666	20.208777852847042
4028600	6.80502	3.16888	3.56433	4.512743333333334	20.839838115356663
3683529	4.13264	8.52386	4.49836	5.718286666666667	20.086605749310486
3685032	4.33897	6.94873	2.89437	4.727356666666667	20.491083760344157
3936221	6.11672	3.34578	2.85947	4.107323333333333	20.16647231802801
2561088	7.10223	3.71904	9.52665	6.782640000000001	20.273383948158106
3333422	7.33103	3.75165	3.30035	4.794343333333333	21.714063035021308
2530473	5.43081	2.53677	2.70517	3.5575833333333335	21.525032313064766
3951240	4.17693	4.22699	8.83319	5.745703333333334	21.938417386679887
2561103	4.32657	2.96117	7.78939	5.02571	23.345345785745344
2984312	2.6219	5.90054	2.79134	3.77126	23.07430049428114
3802960	3.68581	8.50523	3.09627	5.09577	27.450711079732493
3176743	3.72481	7.3822	3.48068	4.862563333333333	21.18729328662821
2926134	3.03369	5.98487	2.87072	3.9630933333333336	20.84937561732822
3549226	3.1919	6.3604	3.12473	4.225676666666667	20.62725135093717
2865572	2.833	4.54561	7.68853	5.02238	23.11439729954089
3561310	2.75012	5.67618	2.57603	3.667443333333333	22.38860114559655
3128126	2.5947	5.33855	2.35588	3.42971	22.780674089616067
4030257	7.96077	4.08689	3.39748	5.14838	22.5234967966717
3714567	2.75037	6.84857	3.04464	4.214526666666666	25.5681913724578
3685065	7.21918	2.80502	5.23422	5.08614	20.490633645548645
4052929	2.86562	6.3604	2.53896	3.9216599999999997	25.4633022711758
3463611	2.86562	6.7181	3.33971	4.30781	22.98897481141118
2616442	6.46134	2.38839	3.09293	3.9808866666666667	25.77733824985734
3255344	7.86807	3.31919	3.91034	5.032533333333333	23.168419321909877
3725375	9.2983	4.1428	4.13275	5.85795	23.976288696024255
3933111	2.72803	5.68123	2.60705	3.6721033333333337	22.350080408740062
3860967	6.99741	5.31547	2.56423	4.959036666666667	21.27417058477108
2924190	3.55613	7.48431	3.70681	4.91575	21.343874277347645
2382646	7.46171	3.8703	3.44872	4.92691	21.10019465133019
2362369	2.5947	6.9613	3.62223	4.392743333333333	24.499820879328258
2688040	5.68289	10.12806	4.06013	6.623693333333333	22.357600390820192
2683624	2.75037	6.67139	3.68386	4.368539999999999	22.102083602272312
3290378	3.37748	6.90972	2.70517	4.33079	24.584483959803645
3405473	6.70322	3.01769	3.4683	4.396403333333333	21.556806024682647
3827901	2.80509	6.56091	3.86437	4.410123333333334	20.699251720730423
3710235	5.71287	2.80502	2.40246	3.6401166666666662	23.392137145674376
3392094	8.58777	7.86385	2.69135	6.380990000000001	23.756857700047853
4054963	3.30473	7.65939	3.76765	4.91059	22.960273437794566
3935857	2.48143	6.10843	2.87072	3.8201933333333336	24.571117061272528
3594022	3.63992	6.84857	3.20222	4.5635699999999995	20.565802660106698
3380655	2.98596	2.4987	6.44784	3.9775000000000005	25.51930652458839
2731555	12.66574	3.10767	11.23612	9.003176666666667	26.99385176787959
3887300	2.70737	7.11378	3.68386	4.50167	24.234223428151722
3140303	4.63328	8.69593	4.0685	5.799236666666666	20.520615486085312
2768104	6.7259	3.08123	2.65737	4.154833333333333	25.37712743017847
3420187	2.23563	5.2829	2.72734	3.41529	22.581006257687083
2544994	2.61562	5.22685	2.65737	3.4999466666666663	20.14527864284003
4005960	2.82037	7.37485	6.84096	5.678726666666667	20.66809765411947
3574462	3.12699	6.67709	2.97946	4.2611799999999995	23.16034353336086
2678722	4.11381	7.61972	3.36482	5.032783333333334	21.275817968611364
4050037	2.96292	5.66334	2.573	3.733086666666667	21.25222141231924
3409320	5.751	8.79729	3.64766	6.065316666666668	20.123326219020527
4034916	6.917	3.40253	3.22723	4.515586666666667	21.730137790566133
2755351	9.16313	4.24622	4.29647	5.90194	22.559157229193126
3986222	2.70737	5.88946	2.47089	3.6892400000000003	24.3942869962475
2661087	3.24203	6.52245	2.74966	4.17138	23.177242783857373
2440420	6.12155	13.22856	6.26754	8.539216666666666	22.422731466984107
3988659	3.43385	5.63693	2.40246	3.8244133333333337	20.365665972914506
4032411	2.70737	5.76598	2.3792	3.617516666666667	24.34019394392272
