id_sonda	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35	Media	Error estándar %
201904_s_at	11.5	187.8	169.0	131.9	227.0	41.4	56.7	31.7	10.3	29.4	20.4	10.9	51.9	62.7	23.2	11.3	94.2	48.5	67.76666666666667	22.627669992267233
201909_at	1693.8	68.8	19.3	46.3	74.8	56.0	43.9	47.3	35.4	3142.7	90.5	49.4	40.8	27.1	107.6	6.0	30.5	3091.3	481.75	49.158292626042815
201958_s_at	5.4	7.4	42.7	3.1	3.2	2.7	4.3	2.3	2.5	3.9	3.0	3.4	4.6	14.2	8.5	3.7	9.7	6.8	7.300000000000001	29.37634560976984
202016_at	273.9	438.1	1764.9	1340.4	2131.3	441.5	413.6	4326.8	645.1	637.8	3082.7	278.8	127.2	1651.0	366.5	291.6	265.4	201.1	1037.6499999999999	25.622648961944623
202067_s_at	8.3	8.8	32.4	73.5	48.8	4.6	3.6	18.4	27.5	8.7	86.6	42.6	32.8	11.3	7.8	6.5	13.2	16.3	25.09444444444445	22.038860442309183
202095_s_at	28.2	22.1	4.0	64.3	31.7	13.7	149.1	30.9	101.5	99.4	44.7	23.8	47.3	14.3	8.3	19.3	37.4	27.8	42.65555555555554	20.53673107487986
202186_x_at	7.3	27.6	38.8	3.7	3.0	4.3	2.3	2.4	3.8	1.9	2.3	16.9	4.7	4.2	3.8	3.1	6.4	9.7	8.122222222222222	28.143952994486476
202196_s_at	183.0	82.7	180.4	201.4	352.7	72.2	669.1	642.2	156.0	50.2	140.7	62.3	874.8	288.2	27.3	65.1	130.7	152.1	240.61666666666667	23.147551143614987
202219_at	16.9	58.0	147.5	60.1	78.0	41.6	137.4	66.2	83.6	65.5	181.2	63.9	22.4	70.7	10.6	607.0	95.5	171.2	109.85	27.865060836899787
202222_s_at	89.6	47.4	168.7	40.2	34.5	67.4	44.7	65.2	31.9	54.0	70.5	46.3	59.4	86.3	38.9	61.1	12.5	5991.6	389.4555555555555	82.25418910040051
202357_s_at	1194.5	975.1	443.2	716.1	562.2	1005.8	1410.6	415.9	711.8	2723.1	342.1	830.9	4049.1	479.2	627.0	466.2	634.6	1459.2	1058.1444444444444	20.279916687607713
202376_at	26.4	277.2	98.2	93.6	107.9	228.6	178.4	504.0	304.2	228.9	161.9	751.3	126.4	297.0	101.0	70.3	115.8	32.7	205.7666666666667	20.077195764609172
202409_at	230.9	465.3	2503.5	998.0	1744.9	285.9	1017.4	517.1	408.8	62.2	458.9	488.2	294.1	492.9	185.1	805.4	358.7	324.6	646.7722222222224	21.558017613655707
202410_x_at	24.7	46.3	390.0	68.5	260.1	20.0	86.0	7.1	15.0	3.1	69.6	24.0	11.4	92.7	5.1	71.5	26.1	23.6	69.15555555555555	33.09476774103487
202434_s_at	280.8	640.8	104.9	414.7	283.7	917.7	206.1	66.9	71.4	325.4	64.6	283.8	412.5	250.1	302.1	148.4	29.8	2068.7	381.8	28.514985804747877
202464_s_at	226.0	241.2	298.4	492.2	425.8	274.9	372.3	658.5	298.3	961.7	4585.5	225.7	374.4	470.7	195.9	860.1	294.9	249.0	639.1944444444445	36.1464449890373
202489_s_at	19.7	10.0	39.9	8.2	28.8	7.7	59.5	10.9	4.3	21.8	10.8	14.0	8.8	5.7	72.6	23.2	40.9	6.8	21.866666666666667	20.53493166374785
202497_x_at	1989.2	441.6	489.1	313.1	336.4	275.5	493.4	424.9	720.5	1410.2	170.8	784.0	720.3	97.0	262.5	4178.3	464.5	540.5	783.9888888888888	28.12595444491955
