ID_REF	VALUE
1552360_a_at	5.963712994
1552362_a_at	6.780051517
1552364_s_at	6.350914204
1552365_at	6.972324463
1552367_a_at	5.443264794
1552368_at	3.251200269
1552370_at	5.922386573
1552372_at	2.683475649
1552373_s_at	2.908862065
1552375_at	3.945436814
1552377_s_at	6.360072401
1552378_s_at	6.427385095
1552379_at	2.721280683
1552381_at	3.017156548
1552383_at	6.691098811
1552384_a_at	4.270691174
1552386_at	3.297635472
1552388_at	5.757315946
1552389_at	3.497094873
1552390_a_at	2.93439001
1552391_at	3.452981447
1552393_at	2.978191763
1552394_a_at	2.990683972
1552395_at	7.030664345
1552396_at	3.65933246
1552398_a_at	4.227471294
1552399_a_at	3.74862245
1552400_a_at	4.149422138
1552401_a_at	3.372792487
1552402_at	4.113034359
1552405_at	4.317491385
1552408_at	3.424186945
1552409_a_at	5.51958281
1552410_at	4.014880596
1552411_at	5.289408267
1552412_a_at	3.361641864
1552414_at	2.983207005
1552415_a_at	3.66095796
1552417_a_at	6.127126368
1552418_at	4.482834987
1552419_s_at	5.250491715
1552421_a_at	3.248030893
1552422_at	4.182907478
1552423_at	5.270112819
1552424_at	3.296226832
1552425_a_at	4.435014448
1552426_a_at	8.685655225
1552427_at	4.397889605
1552430_at	2.717981159
1552432_at	4.754621174
1552436_a_at	4.996891107
1552438_a_at	3.031111455
1552439_s_at	2.823788413
1552440_at	3.410289736
1552445_a_at	2.991452088
1552448_a_at	3.077094029
1552449_a_at	3.066890689
1552450_a_at	4.685733075
1552452_at	3.046883991
1552453_a_at	3.641910278
1552455_at	7.553789677
1552456_a_at	3.924766942
1552457_a_at	3.099945735
1552458_at	2.972197446
1552459_a_at	3.603792342
1552461_at	2.905715348
1552463_at	3.049350733
1552466_x_at	2.872304269
1552467_at	6.019484693
1552468_a_at	4.122439937
1552470_a_at	6.484939089
1552472_a_at	6.00522018
1552473_at	6.995085443
1552474_a_at	6.562244559
1552476_s_at	6.99615358
1552477_a_at	8.097255433
1552478_a_at	5.786935184
1552480_s_at	2.675364852
1552481_s_at	4.636198465
1552482_at	4.225031609
1552484_at	6.08990981
1552485_at	6.211052942
1552486_s_at	6.838080314
1552487_a_at	2.80291051
1552489_s_at	2.908030063
1552490_at	3.337402198
1552491_at	4.643825555
1552493_s_at	3.789304868
1552494_at	3.978729916
1552496_a_at	6.511737999
1552497_a_at	5.219283003
1552498_at	3.536500946
1552499_a_at	3.69588472
1552501_a_at	5.108182133
1552502_s_at	5.349193776
1552503_at	4.441973882
1552504_a_at	6.448938135
1552506_at	3.726070006
